,问题,来源,mc,问答对
252,报名时未显示照片或照片不符应该如何处理？,84,"Option A: 重新上传照片至报名系统  
Option B: 联系所在学校进行处理  
Option C: 忽略该问题，直接继续报名  
Option D: 携带凭证和身份证到指定地点补拍  
Answer: D",D
253,补拍照片需要携带哪些材料？,84,"Option A: 考生本人身份证  
Option B: 学生证和身份证  
Option C: 户口本和拍照凭证  
Option D: 1报名确认时打印的拍照凭证；2考生本人身份证  
Answer: D",D
254,考生照片采集的时间和地点是什么？,84,"Option A: 时间：2023年10月25日-11月1日，地点：虹口区新市南路498号  
Option B: 时间：2023年10月28日-11月1日，地点：浦东新区世纪大道100号  
Option C: 时间：2023年10月28日-11月1日（每天9:00-11:00，13:00-16:00），地点：虹口区新市南路498号  
Option D: 时间：2023年11月2日-11月5日，地点：徐汇区中山南路123号  
Answer: C",C
255,现场确认环节是否允许他人代替考生参加？,85,"Option A: 不允许，必须本人到场  
Option B: 允许，无需任何手续  
Option C: 允许，但需与招考机构联系  
Option D: 视具体情况而定  
Answer: C",A
256,如果无法亲自到场确认报名，应该如何处理？,85,"Option A: 视为自动放弃报名  
Option B: 必须本人到场，无法处理  
Option C: 联系所在区招考机构沟通  
Option D: 找他人代替完成确认  
Answer: C",答案：C
257,报名确认有没有特殊情况的豁免政策？,85,"Option A: 有
Option B: 没有
Option C: 必须本人到场
Option D: 视学校规定而定
Answer: A",A
258,"""高考报名确认环节需要根据考生身份提交哪些材料？""",86,"Option A: 所有考生都需提供身份证和毕业证书  
Option B: 根据考生类别不同，所需材料详见附件一览表  
Option C: 需要学校出具的学籍证明  
Option D: 仅需户籍证明和居住证  
Answer: B",B
259,"""不同身份的考生进行高考报名时，材料清单在哪里查询？""",86,"Option A: 市教委文件  
Option B: 学校通知  
Option C: 附件中的高考大报名材料提供一览表  
Option D: 教育局官网  
Answer: A",C
260,"""如何获取高考报名所需的身份对应材料明细？""",86,"Option A: 查看市教委发布的文件  
Option B: 联系所在学校教务处  
Option C: 下载附件中的高考大报名材料提供一览表  
Option D: 咨询当地教育考试院  
Answer: C",C
261,家长反映考生材料被学校认定不符合2024年报考要求，应该如何处理？,87,"Option A: 积极配合学籍学校和区招考机构的审核工作  
Option B: 向考试院投诉学校审核不公  
Option C: 自行重新提交材料无需配合  
Option D: 寻求其他教育机构帮助审核  
Answer: A",答案：A
262,若区招考机构和学校认为考生材料不达标，考试院能否直接介入审核？,87,"Option A: 能  
Option B: 不能  
Option C: 需要考生申请才能  
Option D: 视具体情况而定  
Answer: B",B
263,考生报考材料审核争议应向哪个部门反馈？,87,"Option A: 考试院  
Option B: 学校或区招考机构  
Option C: 国家教育部  
Option D: 当地派出所  
Answer: B",B
264,往届生和社会生的高考报名材料审核时间是如何安排的？,88,"Option A: 2023年10月27日-28日  
Option B: 由所在学校统一组织  
Option C: 2023年10月25日-26日  
Option D: 审核时间尚未确定  
Answer: A",A
265,如果考生还未收到资格审核的通知，应该如何处理？,88,"Option A: 等待进一步通知  
Option B: 主动向区招考机构联系确认  
Option C: 联系所在学校咨询  
Option D: 重新提交报名材料  
Answer: B",B
266,非本市学籍的应届高中生材料审核由哪个单位负责组织？,88,"Option A: 所在学校  
Option B: 市考试招生机构  
Option C: 区考试招生机构  
Option D: 教育局  
Answer: C",C
267,报名所需的证件有效期截止到什么时候？,89,"Option A: 所报考试开考首日有效  
Option B: 报名截止当日有效  
Option C: 考试结束当日有效  
Option D: 考试前一个月有效  
Answer: A",A
268,考试当天证件必须处于有效期内吗？,89,"Option A: 不需要  
Option B: 是  
Option C: 仅居住证需要  
Option D: 不确定  
Answer: B",B
269,居住证和积分有效期需要满足什么时间条件？,89,"Option A: 考试开考首日有效  
Option B: 考试结束后有效  
Option C: 规定日期内有效  
Option D: 报名截止前有效  
Answer: C",C
270,如果家长无法按时提交报名材料，2024年是否有补报名的机会？具体时间如何安排？,90,"Option A: 有两次补报名机会，分别在2024年3月初和4月中上旬
Option B: 没有补报名机会
Option C: 仅有一次补报名机会在2024年4月
Option D: 仅有一次补报名机会在2024年3月
Answer: A",A
271,不同考生类型（如在校生、往届生等）补报名时应分别联系哪些机构？,90,"Option A: 所有考生均联系学籍所在学校  
Option B: 所有考生均联系区招考机构  
Option C: 在校生联系区招考机构，往届生等联系学校  
Option D: 在校生联系学校，往届生等联系区招考机构  
Answer: D",D
272,2024年补报名的时间段有哪两次？针对不同考生应如何操作？,90,"Option A: 3月初和4月中上旬；在校生联系学校，其他联系区招考机构  
Option B: 3月下旬和4月下旬；所有考生均联系学校  
Option C: 3月初和4月底；往届生联系学校，在校生联系区招考机构  
Option D: 3月中旬和4月中上旬；社会生联系学校，其他联系区招考机构  
Answer: A",答案：A
273,2024年秋季高考的所有报名考生都需要进行体检吗？,91,"Option A: 是  
Option B: 不需要  
Option C: 只有应届生需要  
Option D: 根据考生情况决定  
Answer: A",A
274,特殊类型招生（如保送生、高水平运动队）的考生是否必须参加高考体检？,91,"Option A: 不是  
Option B: 是  
Option C: 看情况  
Option D: 我不知道  
Answer: B",B
275,长期在外省市就读的上海户籍考生如何安排高考体检？,91,"Option A: 由所在外省市中学统一安排  
Option B: 自行联系上海任意区的招生体检站  
Option C: 返沪办理报名确认时由所在区招考机构告知安排  
Option D: 与本市应届生同步参加体检  
Answer: C",C
276,外地学生是否能在当地医院完成上海高考的体检？,92,"Option A: 可以，只要医院有资质  
Option B: 不可以，必须回上海指定体检站  
Option C: 视当地医院政策而定  
Option D: 需要向上海市教育局申请  
Answer: B",B
277,上海高考体检允许在非指定机构进行吗？,92,"Option A: 允许  
Option B: 不允许  
Option C: 可在外地指定机构进行  
Option D: 由考生自行选择  
Answer: B",B
278,异地就读的学生参加高考体检需要返回上海吗？,92,"Option A: 必须返回上海  
Option B: 可以在外地体检  
Option C: 视学校安排而定  
Option D: 不需要返回  
Answer: A",答案：A
279,如果没参加高考体检，有什么补救方法吗？,93,"Option A: 主动联系报名所在区招考机构  
Option B: 等待招考机构主动联系  
Option C: 自行前往医院补检  
Option D: 无法补救  
Answer: A",A
280,高考体检错过了，最晚什么时候联系招考机构？,93,"Option A: 2024年4月底前  
Option B: 2024年5月中旬前  
Option C: 2024年5月底前  
Option D: 2024年6月前  
Answer: B",B
281,错过高考体检后应该联系哪个部门处理？,93,"Option A: 报名所在区的招考机构  
Option B: 市教育考试院  
Option C: 省教育厅招生办  
Option D: 所在学校教务处  
Answer: A",A
282,如果对体检结果不满意，应该怎么申请重新审核？,94,"Option A: 直接联系教育局申请修改  
Option B: 在规定时间内向体检站提出复议  
Option C: 等待下一次体检机会  
Option D: 忽略并确认当前结果  
Answer: B",答案：B
283,考生应在什么期限内提出体检结果复议？,94,"Option A: 体检后一周内  
Option B: 任何时间  
Option C: 规定时间内  
Option D: 体检结果公布前  
Answer: C",C
284,体检结果确认后还能更改吗？,94,"Option A: 可以随时申请修改  
Option B: 在复议期内仍可申请修改  
Option C: 不能  
Option D: 需重新参加体检  
Answer: C",B
285,如果考生在录取后被高校安排体检复查，会以复查结果调整录取决定吗？,95,"Option A: 不会，以原体检结果为准  
Option B: 会，复查结果将作为依据  
Option C: 由高校决定，需联系了解  
Option D: 由考试院决定  
Answer: C",C
286,考生治疗后身体状况改善，录取时能否提交新的健康证明替代原体检结果？,95,"Option A: 可以，考试院会更新体检结果  
Option B: 不能，以原体检结果为准  
Option C: 需经高校同意后可以替换  
Option D: 由考生自行决定是否替换  
Answer: B",C
287,高校录取时是否会根据考生最新的身体状况重新审核资格？,95,"Option A: 会，高校会自动更新考生的最新身体状况  
    Option B: 不会，以原始体检结果为准  
    Option C: 一般不会，但需咨询高校确认  
    Option D: 由考试院重新审核决定  
    Answer: C",C
288,"""2024年高考缴费分几次进行？""",96,"Option A: 三次
Option B: 四次
Option C: 六次
Option D: 五次
Answer: D",D
289,"""往届生应该如何安排高考缴费？""",96,"Option A: 由学校统一安排  
Option B: 听从区报考机构安排  
Option C: 自行网上缴费  
Option D: 不需要缴费  
Answer: B",B
290,"""第三次缴费是针对哪些考生的？""",96,"Option A: 秋季统一高考的考生  
Option B: 体育类专业统一考试的考生  
Option C: 专科自主招生的考生  
Option D: 三校生高考的考生  
Answer: C",C
291,哪些考生需要在2023年10月30日至11月1日期间进行网上付费？,97,"Option A: 勾选春季考试、单报1月份外语考试、艺术类专业统一考试的考生
Option B: 所有报考了秋季考试的考生
Option C: 仅单报艺术类专业统一考试的考生
Option D: 需要修改考试项目的考生
Answer: A",答案：A
292,支付成功后是否可以修改已选的考试项目？,97,"Option A: 不能修改  
Option B: 可以修改  
Option C: 需联系客服后修改  
Option D: 视情况而定  
Answer: A",答案：A
293,春季考试考生的网上付费截止时间是什么时候？,97,"Option A: 10月30日  
Option B: 10月31日  
Option C: 11月1日  
Option D: 11月2日  
Answer: C",C
294,哪些考生需要进行第二次网上付费？,98,"Option A: 勾选体育类专业统一考试并完成网上确认的考生（春季录取考生除外）  
Option B: 所有参加过春季考试的考生  
Option C: 未完成网上个人报名信息确认的考生  
Option D: 仅需参加春季考试的考生  
Answer: A",A
295,体育类专业考生第二次网上付费的途径是什么？,98,"Option A: 网上  
Option B: 现场缴费  
Option C: 银行转账  
Option D: 现金支付  
Answer: A",A
296,2024年完成网上确认的考生何时支付第二次费用？,98,"Option A: 2024年3月上旬  
Option B: 2024年4月上旬  
Option C: 2023年3月上旬  
Option D: 2024年2月下旬  
Answer: A",A
297,专科自主招生志愿填报后，何时进行网上付费？,99,"Option A: 2024年3月中旬  
Option B: 2024年3月上旬  
Option C: 2024年4月中旬  
Option D: 志愿填报前  
Answer: A",A
298,哪些考生需要参与2024年3月中旬的网上付费？,99,"Option A: 所有报名的考生  
Option B: 未填报专科自主招生志愿的考生  
Option C: 已填报专科自主招生志愿的考生  
Option D: 已通过笔试的考生  
Answer: C",C
299,第三次网上付费的具体时间和对象是什么？,99,"Option A: 时间：2024年3月初，对象：所有考生  
Option B: 时间：2024年3月中旬（志愿填报后），对象：已填报志愿的考生  
Option C: 时间：2024年4月，对象：未填报志愿的考生  
Option D: 时间：2024年3月中旬，对象：未报名笔试的考生  
Answer: B",B
300,参加秋季高考的考生第四次网上缴费的截止时间是什么时候？,100,"Option A: 2024年4月中旬  
Option B: 2024年3月中旬  
Option C: 2024年5月中旬  
Option D: 2024年6月中旬  
Answer: A",A
301,2024年秋季统一高考考生何时需要完成第四次考试费用支付？,100,"Option A: 2024年4月中旬  
Option B: 2024年3月下旬  
Option C: 2024年5月初  
Option D: 2024年4月底  
Answer: A",A
302,哪些考生需在2024年4月中旬登录网站付费？,100,"Option A: 春季考试已录取的考生  
Option B: 参加秋季统一高考的考生  
Option C: 所有考生  
Option D: 不需要付费的考生  
Answer: B",B
303,三校生高考志愿填报后的网上付费何时进行？,101,"Option A: 2024年3月下旬
Option B: 2024年4月上旬
Option C: 2024年4月下旬
Option D: 2024年5月上旬
Answer: C",C
304,哪些考生需要在2024年4月下旬完成网上付费？,101,"Option A: 所有考生
Option B: 已填报三校生高考志愿的考生
Option C: 未填报三校生高考志愿的考生
Option D: 仅应届高中毕业生
Answer: B",B
305,已填报三校生高考志愿的考生应何时缴费？,101,"Option A: 2024年3月下旬  
Option B: 2024年4月下旬  
Option C: 2024年5月中旬  
Option D: 填报志愿前完成缴费  
Answer: B",B
306,高考报名缴费时需要自己计算费用吗？,102,"Option A: 需要  
Option B: 不需要  
Option C: 部分需要  
Option D: 视情况而定  
Answer: B",B
307,如何确定2024年高考报名应缴纳的具体费用？,102,"Option A: 考生需要根据表格自行计算费用  
Option B: 系统自动计算，考生无需自行计算  
Option C: 需联系当地教育部门咨询  
Option D: 根据学校提供的估算费用缴纳  
Answer: B",B
308,网上缴费系统是否会自动生成考生需支付的费用？,102,"Option A: 是  
Option B: 否  
Option C: 视情况而定  
Option D: 我不知道  
Answer: A",A
309,被体育单招录取后，如何申请退还已缴纳的秋季高考考试费用？,103,"Option A: 在指定时间段登录系统填写退款申请  
Option B: 联系所在学校财务处办理  
Option C: 考试费将自动退回账户  
Option D: 不可申请退款  
Answer: A",答案：A
310,如果因保送生项目被录取而未参加秋季高考，考试费如何退回原支付账户？,103,"Option A: 自动退回，无需申请  
Option B: 需登录系统申请退款  
Option C: 联系上海市财政局办理退款  
Option D: 无法退回考试费  
Answer: B",B
311,2024年上海考生申请秋季高考考试费退款的流程和时间段是什么？,103,"Option A: 在6月通过电话申请退款，款项退至新银行账户  
Option B: 需在9月到教育局现场提交退款申请表  
Option C: 2024年8月登录系统在线申请，退款至原缴费银行卡，具体时间依财政局安排  
Option D: 系统自动退款，无需申请  
Answer: C",C
312,高考退费申请是否支持在线操作？钱款如何返还？,104,"Option A: 不支持在线操作，钱款现金返还  
Option B: 需线下提交材料，返还至新账户  
Option C: 支持在线申请，返还至原缴费银行卡  
Option D: 仅部分支持在线，返还方式不确定  
Answer: C",答案：C
313,已支付高考费用但决定弃考，钱会退到哪个账户？,104,"Option A: 现金支付  
Option B: 考生指定的新银行账户  
Option C: 缴费时所用的银行卡账户  
Option D: 支付宝账户  
Answer: C",C
314,在付费阶段如何申请退还高考费用？退款需要多久到账？,104,"Option A: 可以在网上申请退费，具体到账时间以上海市财政局为准  
Option B: 需到教育局窗口申请，3个工作日内到账  
Option C: 通过电话联系申请，退款次日到账  
Option D: 无法在付费阶段申请退费  
Answer: A",A
315,在第一次付费阶段能否单独取消艺术类统一考试费用，仅保留春考？,105,"Option A: 不能  
Option B: 能  
Option C: 需联系考试机构确认  
Option D: 仅能保留秋考费用  
Answer: A",A
316,已确认报考春考和艺考，现在想退掉艺考费用只参加春考，如何操作？,105,"Option A: 无法单独取消，需退掉该阶段所有考试费用  
Option B: 联系考试机构单独取消艺考费用  
Option C: 在系统中单独取消艺考费用  
Option D: 无法退费，必须参加所有已确认的考试  
Answer: A",A
317,报名确认后是否可以在付费阶段单独取消某一项考试（例如艺术类考试）？,105,"Option A: 可以  
Option B: 不可以  
Option C: 需联系考试机构申请  
Option D: 仅部分考试允许单独取消  
Answer: B",B
318,2024年上海有哪些考试安排在1月份进行？,106,"Option A: 春季考试、1月份外语考试  
Option B: 专科自主招生考试  
Option C: 三校生高考  
Option D: 秋季统一高考  
Answer: A",A
319,三校生高考和秋季统一高考的具体时间是什么时候？,106,"Option A: 5月中旬和6月中旬
    Option B: 3月下旬和6月上旬
    Option C: 5月中旬和6月上旬
    Option D: 1月上旬和5月中旬
    Answer: C",C
320,能否列出2024年上海各阶段考试的时间表？,106,"Option A: 能，表中已列出2024年上海各阶段考试时间
    Option B: 不能，表中是其他省份的考试时间
    Option C: 只能列出部分考试时间
    Option D: 时间表尚未公布
    Answer: A",C
321,2024年上海春季考试的具体时间是什么时候？,107,"Option A: 1月中旬  
Option B: 12月下旬  
Option C: 1月上旬  
Option D: 2月初  
Answer: C",C
322,哪里可以查询到春季考试的正式考试日期？,107,"Option A: 上海招考热线网站  
Option B: 学校教务处官网  
Option C: 教育部考试中心官网  
Option D: 中国教育在线平台  
Answer: A",答案：A
323,上海招考热线网站会公布哪个月的春季考试安排？,107,"Option A: 1月  
Option B: 3月  
Option C: 4月  
Option D: 12月  
Answer: A",A
324,上海2024年1月的外语考试具体安排在什么时候？,108,"Option A: 1月上旬  
Option B: 1月中旬  
Option C: 以上海招考热线网站公布为准  
Option D: 尚未确定  
Answer: A",C
325,哪里可以查询到2024年1月外语考试的准确时间？,108,"Option A: 上海招考热线网站  
Option B: 教育部考试中心官网  
Option C: 所在学校教务处通知  
Option D: 国家教育考试网  
Answer: A",答案：A
326,能否告知明年1月上海的外语考试时间段？,108,"Option A: 1月1日至5日  
Option B: 1月10日至15日  
Option C: 具体时间需查看上海招考热线网站  
Option D: 1月中旬  
Answer: C",C
327,2024年专科自主招生考试的具体日期是什么时候？,109,"Option A: 3月上旬  
Option B: 4月中旬  
Option C: 3月下旬，以上海招考热线网站公布为准  
Option D: 3月25日  
Answer: C",C
328,上海专科自主招生考试的时间会在2024年哪个月份进行？,109,"Option A: 3月  
Option B: 4月  
Option C: 5月  
Option D: 6月  
Answer: A",答案：A
329,如何查询2024年专科自主招生考试的正式安排时间？,109,"Option A: 访问上海招考热线网站查询  
Option B: 查看教育部官网公告  
Option C: 咨询所在学校教务处  
Option D: 关注当地教育考试院公众号  
Answer: A",A
330,2024年三校生高考的具体考试时间在什么时候？,110,"Option A: 4月下旬  
Option B: 5月中旬  
Option C: 5月下旬  
Option D: 6月初  
Answer: B",B
331,哪里可以查询到2024年三校生高考的官方考试时间？,110,"Option A: 上海教育考试院官网
Option B: 教育部官网
Option C: 上海招考热线网站
Option D: 学校教务处
Answer: C",C
332,上海三校生高考的2024年考试日期是如何安排的？,110,"Option A: 5月中旬，具体时间以上海招考热线网站公布为准  
Option B: 5月15日  
Option C: 6月中旬  
Option D: 由各学校自行决定  
Answer: A",A
333,2024年上海秋季高考的考试日期在几月？,111,"Option A: 5月
    Option B: 6月
    Option C: 7月
    Option D: 8月
    Answer: B",B
334,哪里可以查询到2024年统一高考的具体时间？,111,"Option A: 教育部官网  
Option B: 当地教育局通知  
Option C: 上海招考热线网站  
Option D: 所在学校公布  
Answer: C",C
335,明年上海的高考通常在什么时间进行？,111,"Option A: 5月中旬  
Option B: 6月上旬  
Option C: 7月下旬  
Option D: 9月初  
Answer: B",B
336,表（导）演类-戏剧影视表演方向的统考安排在什么时候？,112,"Option A: 2023年11月25日－26日  
Option B: 2023年11月18日－19日  
Option C: 2023年12月2日－3日  
Option D: 2023年12月9日－10日  
Answer: B",B
337,美术与设计类专业统考中素描和色彩的考试时间分别是什么时候？,112,"Option A: 素描：11月25日8:30－11:30，色彩：11月25日13:30－16:30  
Option B: 素描：11月25日13:30－16:30，色彩：11月26日8:30－10:30  
Option C: 素描：11月26日8:30－11:30，色彩：11月25日13:30－16:30  
Option D: 素描和色彩均在11月26日8:30－16:30  
Answer: A",A
338,艺体类统考的考点是如何分配的？是否需要考生自行查看？,112,"Option A: 由系统统一分配，不需要考生自行查看  
Option B: 由考生自主选择，需要查看  
Option C: 由学校分配，必须自行查看  
Option D: 随机分配，无须查看  
Answer: A",答案：A
339,表（导）演类统考中，戏剧影视表演和导演方向的专业考试时间是什么时候？,113,"Option A: 2023年12月18日-19日  
Option B: 2023年11月17日-18日  
Option C: 2023年11月18日-19日  
Option D: 2023年10月20日-21日  
Answer: C",C
340,2023年艺术类统考的戏剧影视表演和导演方向安排在哪些日期进行？,113,"Option A: 11月18日-19日  
Option B: 11月17日-18日  
Option C: 12月18日-19日  
Option D: 10月18日-19日  
Answer: A",A
341,戏剧影视表演与导演方向的专业统一考试具体是哪两天？,113,"Option A: 11月17日-18日  
Option B: 11月18日-19日  
Option C: 12月18日-19日  
Option D: 10月18日-19日  
Answer: B",B
342,2023年播音与主持类艺术统考的具体日期是哪两天？,114,"Option A: 11月11日-12日  
Option B: 11月18日-19日  
Option C: 11月25日-26日  
Option D: 12月1日-2日  
Answer: B",B
343,艺术类统考中播音主持专业的考试时间是哪两天？,114,"Option A: 11月18日-19日  
Option B: 11月19日-20日  
Option C: 12月18日-19日  
Option D: 10月18日-19日  
Answer: A",答案：A
344,播音与主持类专业的省统考安排在2023年什么时候举行？,114,"Option A: 11月18日-19日  
Option B: 12月18日-19日  
Option C: 11月11日-12日  
Option D: 10月18日-19日  
Answer: A",A
345,美术与设计类统考的具体日期是哪两天？,115,"Option A: 11月25日-26日  
Option B: 11月24日-25日  
Option C: 12月25日-26日  
Option D: 11月26日-27日  
Answer: A",A
346,2023年艺术类美术与设计专业的统考时间是什么时候？,115,"Option A: 2023年11月25日-26日  
Option B: 2023年12月25日-26日  
Option C: 2023年10月25日-26日  
Option D: 2023年11月24日-25日  
Answer: A",A
347,艺术类统考中，美术和设计专业的考试安排在什么时候？,115,"Option A: 2023年11月25日-26日  
Option B: 2023年11月24日-25日  
Option C: 2023年12月25日-26日  
Option D: 2023年10月25日-26日  
Answer: A",A
348,艺术类统考素描科目的具体考试日期和时间是什么时候？,116,"Option A: 2023年11月25日8:30—11:30  
Option B: 2023年11月25日13:30—16:30  
Option C: 2023年11月26日8:30—11:30  
Option D: 2023年12月25日8:30—11:30  
Answer: A",A
349,2023年艺术统考的素描考试安排在几月几日？,116,"Option A: 11月25日  
Option B: 11月24日  
Option C: 12月25日  
Option D: 10月25日  
Answer: A",A
350,素描统考的考试从几点开始到几点结束？,116,"Option A: 8:30开始，11:30结束  
Option B: 9:00开始，12:00结束  
Option C: 8:00开始，11:00结束  
Option D: 8:30开始，12:30结束  
Answer: A",A
351,艺术统考色彩科目的具体考试时间是什么时候？,117,"Option A: 2023年11月25日13:30—15:30  
Option B: 2023年11月25日13:30—16:30  
Option C: 2023年11月24日13:30—16:30  
Option D: 2023年11月25日9:00—12:00  
Answer: B",B
352,2023年艺术类统考中，色彩考试在何时举行？,117,"Option A: 2023年11月25日13:30—16:30  
Option B: 2023年11月25日9:00—12:00  
Option C: 2023年11月24日13:30—16:30  
Option D: 2023年12月25日13:30—16:30  
Answer: A",答案：A
353,色彩考试的起止日期和时段是几点到几点？,117,"Option A: 2023年11月25日12:00—15:00  
Option B: 2023年11月24日13:30—16:30  
Option C: 2023年11月25日13:00—16:00  
Option D: 2023年11月25日13:30—16:30  
Answer: D",D
354,艺术统考速写（综合能力）科目的具体考试时间安排是什么？,118,"Option A: 2023年11月26日8:30—10:30  
Option B: 2023年11月26日9:30—11:30  
Option C: 2023年11月25日8:30—10:30  
Option D: 2023年12月26日8:30—10:30  
Answer: A",A
355,速写综合能力部分的统考何时开始和结束？,118,"Option A: 2023年11月26日8:30—10:30  
Option B: 2023年11月26日9:00—11:30  
Option C: 2023年11月25日8:30—10:30  
Option D: 2023年12月1日8:30—10:30  
Answer: A",A
356,2023年艺术类统考中，速写综合能力考试在什么时间段进行？,118,"Option A: 2023年11月25日8:30—10:30  
Option B: 2023年11月26日9:00—11:00  
Option C: 2023年11月26日8:30—10:30  
Option D: 2023年12月1日14:00—16:00  
Answer: C",C
357,书法类统考的具体考试日期是哪天？,119,"Option A: 11月25日  
Option B: 11月26日  
Option C: 12月26日  
Option D: 11月16日  
Answer: B",B
358,艺术类书法专业的统一考试何时举行？,119,"Option A: 2023年11月26日  
Option B: 2023年11月25日  
Option C: 2023年12月26日  
Option D: 2023年11月20日  
Answer: A",A
359,请问今年书法类统考的时间定在什么时候？,119,"Option A: 2023年11月25日  
Option B: 2023年11月26日  
Option C: 2023年12月26日  
Option D: 2023年11月24日  
Answer: B",B
360,书法临摹科目的艺术类统考时间是什么时候？,120,"Option A: 2023年11月26日13:00—14:30  
Option B: 2023年11月25日13:00—14:30  
Option C: 2023年11月26日09:00—10:30  
Option D: 2023年12月1日13:00—14:30  
Answer: A",答案：A
361,艺术类统考中，书法临摹部分的考试何时开始和结束？,120,"Option A: 13:00开始，14:30结束  
Option B: 14:00开始，15:30结束  
Option C: 11月25日13:00-14:30  
Option D: 9:00开始，10:30结束  
Answer: A",A
362,2023年书法临摹统考的具体考试时段是哪一天几点？,120,"Option A: 2023年11月26日上午9:00—10:30  
Option B: 2023年11月25日13:00—14:30  
Option C: 2023年11月26日13:00—14:30  
Option D: 2023年11月27日下午3:00—4:30  
Answer: C",C
363,艺术类统考书法创作考试的具体日期和时段是什么时候？,121,"Option A: 2023年11月26日15:15—16:45  
Option B: 2023年11月25日15:15—16:45  
Option C: 2023年11月26日9:00—10:30  
Option D: 2023年12月26日15:15—16:45  
Answer: A",A
364,书法创作考试的开始和结束时间分别是几点？,121,"Option A: 15:15和16:45  
Option B: 15:00和16:30  
Option C: 15:30和16:45  
Option D: 15:15和17:00  
Answer: A",A
365,2023年艺术统考中，书法创作科目的考试安排在哪一天的哪个时间段？,121,"Option A: 11月26日15:15—16:45
Option B: 11月25日15:15—16:45
Option C: 11月26日14:30—16:00
Option D: 11月27日09:00—10:30
Answer: A",答案：A
366,2023年艺术类统考音乐类各专业方向的考试日期是哪两天？,122,"Option A: 12月2日和3日  
Option B: 11月25日和26日  
Option C: 12月1日和2日  
Option D: 1月5日和6日  
Answer: A",A
367,音乐教育类和音乐表演类（声乐/器乐方向）的统考时间是什么时候？,122,"Option A: 2023年12月2日-3日  
Option B: 2023年11月2日-3日  
Option C: 2023年12月1日-2日  
Option D: 2023年12月3日-4日  
Answer: A",A
368,能否告知今年音乐类专业统考的具体安排时间？,122,"Option A: 2023年11月25日-26日  
Option B: 2023年12月2日-3日  
Option C: 2023年12月9日-10日  
Option D: 2024年1月6日-7日  
Answer: B",B
369,艺术类统考表（导）演类服装表演方向的考试具体日期是哪几天？,123,"Option A: 12月9日-10日  
Option B: 12月8日-9日  
Option C: 12月10日-11日  
Option D: 11月9日-10日  
Answer: A",A
370,服装表演专业方向的艺术统考时间安排在2023年的哪两天？,123,"Option A: 12月8日-9日  
Option B: 12月9日-10日  
Option C: 11月9日-10日  
Option D: 12月10日-11日  
Answer: B",B
371,请问导表类服装表演统一考试在12月的哪些日期进行？,123,"Option A: 12月9日-10日  
Option B: 12月8日-9日  
Option C: 12月10日-11日  
Option D: 12月7日-8日  
Answer: A",A
372,舞蹈类艺术统考的具体日期是哪两天？,124,"Option A: 12月9日-10日  
Option B: 12月8日-9日  
Option C: 11月9日-10日  
Option D: 12月10日-11日  
Answer: A",A
373,2023年艺术类统考中，舞蹈专业的考试时间如何安排？,124,"Option A: 12月9日-10日  
Option B: 12月8日-9日  
Option C: 12月10日-11日  
Option D: 12月15日-16日  
Answer: A",A
374,艺术类舞蹈专业的统一考试在12月的哪几天举行？,124,"Option A: 12月8日-9日  
Option B: 12月9日-10日  
Option C: 12月10日-11日  
Option D: 12月7日-8日  
Answer: B",B
375,不同考生类型（如应届生、往届生、非本市学籍考生）如何领取高考准考证？,125,"Option A: 所有考生都需自行下载打印准考证  
Option B: 应届生由学校发放，往届生和非本市学籍考生到区招考机构领取  
Option C: 所有考生均到区招考机构领取准考证  
Option D: 所有考生由学校统一发放准考证  
Answer: B",B
376,三校生高考和专科自主招生考试的考生分别通过什么方式获取准考证？,125,"Option A: 三校生高考考生到区招考机构领取，专科自主招生考生由学校发放  
Option B: 三校生高考考生在报名系统下载，专科自主招生考生也在报名系统下载  
Option C: 三校生高考考生在报名系统下载，专科自主招生考生在院校网站下载  
Option D: 两者均通过招考机构现场领取  
Answer: C",C
377,艺术类统考和秋季高考考生的准考证获取途径有哪些差异？,125,"Option A: 艺术类考生到区招考机构领取，秋季考生自行下载
Option B: 艺术类考生自行下载打印，秋季考生由学校发放或到区招考机构领取
Option C: 两者均需登录报名系统下载打印
Option D: 两者均由报名院校统一发放
Answer: B",B
378,如果准考证上的个人信息有误，考生应该如何处理？,126,"Option A: 联系学籍学校或报考的区招考机构  
Option B: 自行修改准考证信息  
Option C: 联系全国考试中心  
Option D: 忽略错误，直接参加考试  
Answer: A",A
379,发现准考证姓名或身份证号错误时，应该联系哪个部门？,126,"Option A: 所有考生都联系学籍学校  
Option B: 所有考生都联系区招考机构  
Option C: 在校生联系学校，其他联系区招考机构  
Option D: 无需联系，直接参加考试  
Answer: C",C
380,准考证信息错误是否需要更正，应该联系哪里？,126,"Option A: 学籍学校  
Option B: 区招考机构  
Option C: 在校生联系学籍学校，其他考生联系区招考机构  
Option D: 教育考试院  
Answer: C",C
381,如何查询上海高考笔试和外语听说测试的考场规则？,127,"Option A: 在“上海招考热线”网站的高考学考栏目下的秋季高考公告附件中查看  
Option B: 通过学校教务处发布的纸质通知查询  
Option C: 直接拨打“上海招考热线”电话咨询  
Option D: 在上海市教育考试院官网首页公告栏查找  
Answer: A",答案：A
382,外语听力考试的注意事项在哪里可以提前查看？,127,"Option A: 学校教务处官网  
Option B: 上海招考热线网站  
Option C: 教育部考试中心网站  
Option D: 招生办官方公众号  
Answer: B",B
